season,person_id,player_name,allocated
2017,74,Cari Roccaro,0
2017,76,Carli Lloyd,1
2017,79,Caroline Flynn,0
2017,82,Carson Pickett,0
2017,85,Casey Short,1
2017,86,Cassidy Benintente,0
2017,89,Celeste Boureille,0
2017,94,Chioma Ubogagu,0
2017,96,Christen Press,1
2017,97,Christen Westphal,0
2017,98,Christie Pearce,0
2017,99,Christina Burkenroad,0
2017,100,Christina Gibbons,0
2017,101,Christine Nairn,0
2017,104,Claire Falknor,0
2017,115,Crystal Thomas,0
2017,118,Dani Weatherholt,0
2017,119,Danica Evans,0
2017,120,Danielle Colaprico,0
2017,123,Daphne Corboz,0
2017,131,Domi Richardson,0
2017,142,Elizabeth Eddy,0
2017,145,Elli Reed,0
2017,150,Emily Menges,0
2017,152,Emily Sonnett,1
2017,156,Erica Skroski,0
2017,157,Erika Tymrak,0
2017,159,Erin Simon,0
2017,180,Hayley Dowd,0
2017,186,Ifeoma Onumonu,0
2017,192,Jaelene Hinkle,0
2017,194,Jamia Fields,0
2017,199,Jasmyne Spencer,0
2017,204,Jen Hoy,0
2017,212,Jessica McDonald,0
2017,216,Joanna Lohman,0
2017,228,Julie Ertz,1
2017,230,Julie King,0
2017,232,Kassey Kallman,0
2017,238,Katherine Reynolds,0
2017,242,Katie Naughton,0
2017,244,Katie Stengel,0
2017,244,Katie Stengel,0
2017,249,Kayla Mills,0
2017,253,Kealia Ohai,0
2017,257,Kelley O'Hara,1
2017,258,Kelli Hubly,0
2017,264,Kendall Johnson,0
2017,270,Kiersten Dallstream,0
2017,276,Kristen Edmonds,0
2017,277,Kristen Hamilton,0
2017,278,Kristen McNabb,0
2017,280,Kristie Mewis,0
2017,280,Kristie Mewis,0
2017,280,Kristie Mewis,0
2017,290,Lauren Barnes,0
2017,293,Lauren Kaskie,0
2017,306,Lindsay Elston,0
2017,308,Lindsey Horan,1
2017,314,Lo'eau LaBonta,0
2017,321,Lynn Williams,1
2017,322,Maddie Bauer,0
2017,325,Maddy Evans,0
2017,327,Madison Tiernan,0
2017,329,Makenzy Doniak,0
2017,331,Mallory Pugh,1
2017,332,Mallory Weber,0
2017,333,Mandy Freeman,0
2017,337,Margaret Purce,0
2017,350,Maya Hayes,0
2017,351,McCall Zerboni,0
2017,353,McKenzie Meehan,0
2017,354,Meg Morris,0
2017,357,Megan Oyster,0
